,loss,o1_loss,o2_loss,o3_loss,o1_f1,o2_f1,o3_f1,lr
136,8.047179222106934,0.3272218406200409,0.23314790427684784,0.2517014145851135,0.6957215666770935,0.7635741233825684,0.7493607997894287,6.25e-05
137,8.040438652038574,0.3270975649356842,0.23293882608413696,0.2514199912548065,0.7784097194671631,0.8767043948173523,0.8655506372451782,6.25e-05
138,8.03067398071289,0.326934278011322,0.23266883194446564,0.25101375579833984,0.7565398812294006,0.8262173533439636,0.8141404986381531,6.25e-05
139,8.025240898132324,0.32686683535575867,0.23266586661338806,0.2507238984107971,0.812322735786438,0.8836367726325989,0.8675257563591003,6.25e-05
140,8.018414497375488,0.32671284675598145,0.23252758383750916,0.25041836500167847,0.7017880082130432,0.7698981761932373,0.7599157094955444,6.25e-05
141,8.004779815673828,0.3264963626861572,0.23196986317634583,0.24992211163043976,0.7638840675354004,0.8595735430717468,0.8458765149116516,6.25e-05
142,7.995544910430908,0.32631826400756836,0.23152709007263184,0.24960193037986755,0.6978499293327332,0.8459345102310181,0.8287087082862854,6.25e-05
143,8.015966415405273,0.32663214206695557,0.23208826780319214,0.2503637671470642,0.7739478945732117,0.8290864825248718,0.8254810571670532,6.25e-05
144,8.00479507446289,0.3264751136302948,0.23169741034507751,0.24993057548999786,0.8057317733764648,0.8702589273452759,0.8629116415977478,6.25e-05
145,7.996086597442627,0.32643723487854004,0.23156961798667908,0.24951809644699097,0.8082804679870605,0.8389315605163574,0.8325275182723999,6.25e-05
146,7.974606990814209,0.3260807693004608,0.23082596063613892,0.24871057271957397,0.8067591190338135,0.8657507300376892,0.856036901473999,6.25e-05
147,7.968174457550049,0.3259320557117462,0.23063984513282776,0.24843810498714447,0.6982808709144592,0.7592832446098328,0.7526111602783203,6.25e-05
148,7.958435535430908,0.3257801830768585,0.23031389713287354,0.2480495423078537,0.7682876586914062,0.8331440091133118,0.8220391273498535,6.25e-05
149,7.953524112701416,0.3256893754005432,0.23015885055065155,0.24784669280052185,0.772193193435669,0.8354178667068481,0.8281866312026978,1.5625e-05
150,7.949206829071045,0.3256131112575531,0.2300509810447693,0.24767060577869415,0.751457929611206,0.8682282567024231,0.8411645889282227,1.5625e-05
151,7.9471516609191895,0.32560789585113525,0.23002827167510986,0.24757078289985657,0.8075595498085022,0.8833332061767578,0.8691914081573486,1.5625e-05
152,7.94262170791626,0.3255341351032257,0.22989989817142487,0.24739006161689758,0.8078886866569519,0.883019745349884,0.8694133758544922,1.5625e-05
153,7.9404401779174805,0.3254872262477875,0.22982512414455414,0.24730417132377625,0.7763767838478088,0.8489748239517212,0.8342493176460266,1.5625e-05
154,7.938937664031982,0.32546594738960266,0.2297724485397339,0.24724180996418,0.6991193890571594,0.773474931716919,0.7588135004043579,1.5625e-05
155,7.93774938583374,0.3254444897174835,0.22972069680690765,0.24719510972499847,0.814586877822876,0.8832739591598511,0.8696668148040771,1.5625e-05
156,7.938773155212402,0.3254604935646057,0.22973258793354034,0.24723218381404877,0.789480984210968,0.8559193015098572,0.849618673324585,1.5625e-05
157,7.935571193695068,0.325399249792099,0.22962060570716858,0.24710974097251892,0.8063140511512756,0.869573175907135,0.8622902035713196,1.5625e-05
158,7.933623790740967,0.325371652841568,0.2295645922422409,0.2470272332429886,0.6995435953140259,0.7662648558616638,0.7570242285728455,1.5625e-05
159,7.9320878982543945,0.32534781098365784,0.2295258492231369,0.24695885181427002,0.7720030546188354,0.8788831233978271,0.8674530386924744,1.5625e-05
160,7.928901672363281,0.32530343532562256,0.2294364720582962,0.2468278855085373,0.7004597187042236,0.7690156102180481,0.7563904523849487,1.5625e-05
161,7.9262237548828125,0.32526159286499023,0.22936472296714783,0.24671627581119537,0.8129321336746216,0.8786922097206116,0.8659292459487915,1.5625e-05
162,7.9241156578063965,0.3252246677875519,0.2293044924736023,0.24662822484970093,0.7959023714065552,0.8806633949279785,0.8664382696151733,1.5625e-05
163,7.922383785247803,0.32520684599876404,0.22927211225032806,0.24654750525951385,0.7761492729187012,0.8806132078170776,0.8658627271652222,1.5625e-05
164,7.919149398803711,0.3251470923423767,0.22917413711547852,0.24641866981983185,0.705601155757904,0.8481431603431702,0.8325005769729614,1.5625e-05
165,7.919604301452637,0.3251603841781616,0.22918306291103363,0.2464294284582138,0.7976985573768616,0.869857668876648,0.8546440601348877,1.5625e-05
166,7.919558048248291,0.3251529633998871,0.22915281355381012,0.2464304119348526,0.7873576879501343,0.8821707963943481,0.870636522769928,1.5625e-05
167,7.915866374969482,0.3250887393951416,0.22901004552841187,0.24629466235637665,0.7872065901756287,0.8806965351104736,0.8668139576911926,1.5625e-05
168,7.9133477210998535,0.3250467777252197,0.22893835604190826,0.24619132280349731,0.7966831922531128,0.8628748655319214,0.8518822193145752,1.5625e-05
169,7.909621238708496,0.3249812126159668,0.22884288430213928,0.2460387498140335,0.8104045391082764,0.8809511661529541,0.8689037561416626,1.5625e-05
170,7.9075188636779785,0.3249615430831909,0.2288041114807129,0.24594275653362274,0.7987946271896362,0.8683957457542419,0.8530817031860352,1.5625e-05
171,7.904129505157471,0.3249015212059021,0.22870510816574097,0.2458067089319229,0.7905033230781555,0.8784885406494141,0.8483993411064148,1.5625e-05
172,7.902402877807617,0.32488375902175903,0.22867503762245178,0.2457256317138672,0.8129037618637085,0.8846422433853149,0.8687443137168884,1.5625e-05
173,7.900032997131348,0.3248438239097595,0.22860266268253326,0.2456289529800415,0.7009521722793579,0.8440077304840088,0.8306348323822021,1.5625e-05
174,7.897862911224365,0.32480713725090027,0.22851353883743286,0.2455475926399231,0.810657262802124,0.8823069930076599,0.8671982288360596,1.5625e-05
175,7.8977437019348145,0.324800968170166,0.22848433256149292,0.2455446720123291,0.79557204246521,0.8655623197555542,0.849759578704834,1.5625e-05
176,7.89542293548584,0.3247604966163635,0.2284090518951416,0.2454516738653183,0.8087531328201294,0.8446993827819824,0.8290918469429016,1.5625e-05
177,7.894509315490723,0.3247429132461548,0.22838032245635986,0.24541008472442627,0.701279878616333,0.8570698499679565,0.8108681440353394,1.5625e-05
178,7.89114236831665,0.32469385862350464,0.22828882932662964,0.24527117609977722,0.8156774044036865,0.8844539523124695,0.8707558512687683,1.5625e-05
179,7.888915061950684,0.3246617317199707,0.22826148569583893,0.24516525864601135,0.7774654626846313,0.8279743790626526,0.8152795433998108,1.5625e-05
