,loss,o1_loss,o2_loss,o3_loss,o1_f1,o2_f1,o3_f1,val_loss,val_o1_loss,val_o2_loss,val_o3_loss,val_o1_f1,val_o2_f1,val_o3_f1,lr
0,19.935625076293945,0.6046863198280334,0.69316565990448,0.6931630969047546,0.761971116065979,0.2815086841583252,0.32235386967658997,19.781293869018555,0.527740478515625,0.6931441426277161,0.6931481957435608,0.4906468391418457,0.0,0.600156843662262,0.001
1,19.697967529296875,0.4819929599761963,0.6931586265563965,0.6931552886962891,0.8211427927017212,0.37981536984443665,0.4080253541469574,19.647815704345703,0.45341289043426514,0.6931485533714294,0.6931487321853638,0.4855547845363617,0.0,0.0,0.001
2,19.606069564819336,0.4288407266139984,0.6931570172309875,0.6931567192077637,0.8208937644958496,0.04917939752340317,0.06959567219018936,19.595102310180664,0.4203762114048004,0.6931514739990234,0.6931520104408264,0.5002871751785278,0.0,0.0,0.001
3,19.568063735961914,0.40418899059295654,0.6931619048118591,0.6931621432304382,0.8235101103782654,0.1607576608657837,0.16305235028266907,19.565807342529297,0.40096625685691833,0.6931440234184265,0.6931468844413757,0.49628299474716187,0.0,0.0,0.001
4,19.547618865966797,0.3902151882648468,0.6931673288345337,0.6931619644165039,0.8259925842285156,0.09838386625051498,0.036826178431510925,19.55042266845703,0.39048856496810913,0.693142294883728,0.693142294883728,0.49268144369125366,0.0,0.0,0.001
5,19.536754608154297,0.3822680711746216,0.6931686997413635,0.6931644678115845,0.8303647637367249,0.035837624222040176,0.0,19.545413970947266,0.38603073358535767,0.6931424140930176,0.693142294883728,0.49403902888298035,0.0,0.0,0.001
6,19.526960372924805,0.37587887048721313,0.6931646466255188,0.6931601166725159,0.8321978449821472,0.17609769105911255,0.16941308975219727,19.54644775390625,0.38550567626953125,0.693142294883728,0.6931431889533997,0.5166066884994507,0.0,0.0,0.001
7,19.521121978759766,0.3717619478702545,0.6931717991828918,0.6931685209274292,0.8382942080497742,0.18850989639759064,0.14526337385177612,19.526432037353516,0.37457212805747986,0.6931480169296265,0.6931440830230713,0.5118383169174194,0.0,0.0,0.001
8,19.51449203491211,0.3680322468280792,0.6931638717651367,0.6931602954864502,0.8413983583450317,0.0,0.0,19.52872085571289,0.375276118516922,0.6931428909301758,0.6931427717208862,0.5119553208351135,0.0,0.0,0.001
9,19.509349822998047,0.3649565279483795,0.6931755542755127,0.6931619644165039,0.8452669382095337,0.236405611038208,0.2219538539648056,19.51805305480957,0.36921781301498413,0.6931493878364563,0.6931524276733398,0.49714305996894836,0.0,0.0,0.001
